iteration,train_loss,val_loss,clustering_loss,val_clustering_loss,reconstruction_loss,val_reconstruction_loss
0,0.0010780731681734324,0.0012442911975085735,9.261774539481848e-05,7.634568464709446e-05,0.0010771469678729773,0.0012435277458280325
1,0.0011613299138844013,0.0010393469128757715,7.773717516101897e-05,6.533182749990374e-05,0.001160552492365241,0.0010386935900896788
2,0.0012521949829533696,0.0011514098150655627,8.656040154164657e-05,6.937044236110523e-05,0.0012513294350355864,0.001150716096162796
3,0.0010847875382751226,0.0010895910672843456,7.825863576726988e-05,5.8326924772700295e-05,0.001084004994481802,0.0010890078265219927
4,0.001074708066880703,0.0012849202612414956,7.299231947399676e-05,6.491425301646814e-05,0.001073978142812848,0.0012842711294069886
5,0.0012078434228897095,0.0011312342248857021,6.399484118446708e-05,7.056775211822242e-05,0.0012072034878656268,0.0011305285152047873
6,0.0011084317229688168,0.0011809509014710784,9.349336323793977e-05,7.889632252044976e-05,0.0011074967915192246,0.0011801619548350573
7,0.0011307053500786424,0.0011895706411451101,7.103050302248448e-05,6.0978083638474345e-05,0.0011299951002001762,0.0011889608576893806
8,0.0010445452062413096,0.001135286525823176,6.390480120899156e-05,7.844815263524652e-05,0.0010439062025398016,0.0011345020029693842
9,0.001012571738101542,0.0011811585864052176,8.169451029971242e-05,8.089836046565324e-05,0.0010117547353729606,0.0011803496163338423
10,0.0012569822138175368,0.001106402836740017,9.38406737986952e-05,6.944056076463312e-05,0.00125604378990829,0.0011057084193453193
11,0.0011252447729930282,0.0010814131237566471,7.398327579721808e-05,6.258096982492134e-05,0.001124504953622818,0.0010807872749865055
12,0.0010786302154883742,0.0011495775543153286,8.505220466759056e-05,8.432538015767932e-05,0.0010777796851471066,0.0011487343581393361
13,0.0011072581401094794,0.0010559373768046498,8.42492445372045e-05,7.825915236026049e-05,0.001106415642425418,0.0010551548330113292
14,0.0012127220397815108,0.0011961712734773755,5.0081223889719695e-05,7.066182297421619e-05,0.0012122212210670114,0.001195464632473886
15,0.0011076375376433134,0.0011452388716861606,9.658560156822205e-05,6.908613431733102e-05,0.0011066716397181153,0.0011445480631664395
16,0.0010477727046236396,0.0010129958391189575,7.970665319589898e-05,6.063043838366866e-05,0.0010469756089150906,0.0010123895481228828
17,0.0012173251016065478,0.001232408219948411,8.511950727552176e-05,6.268266588449478e-05,0.0012164738727733493,0.0012317814398556948
18,0.0008790695574134588,0.0011636670678853989,8.264531788881868e-05,6.588055839529261e-05,0.0008782431250438094,0.0011630082735791802
19,0.0011649287771433592,0.001118162996135652,6.296431092778221e-05,7.970191654749215e-05,0.0011642990866675973,0.0011173660168424249
20,0.0012387752067297697,0.0011157214175909758,6.917311839060858e-05,6.087380097596906e-05,0.001238083466887474,0.0011151126818731427
21,0.001240545534528792,0.001076946733519435,5.6615994253661484e-05,6.15995959378779e-05,0.0012399794068187475,0.0010763307800516486
22,0.0011486471630632877,0.0011912474874407053,8.004545816220343e-05,6.517915608128533e-05,0.0011478466913104057,0.0011905956780537963
23,0.0010447202948853374,0.0010858350433409214,9.701847011456266e-05,9.094853885471821e-05,0.0010437500895932317,0.0010849256068468094
24,0.0011330180568620563,0.0011693084379658103,8.379097562283278e-05,6.122596096247435e-05,0.001132180099375546,0.0011686962097883224
25,0.001160899642854929,0.0010965096298605204,8.267024531960487e-05,7.427108357660472e-05,0.001160072977654636,0.0010957669001072645
26,0.0010777785209938884,0.0011849664151668549,6.408087210729718e-05,8.19773631519638e-05,0.001077137654647231,0.0011841466184705496
27,0.001112122554332018,0.0011747665703296661,7.591898611281067e-05,7.40712639526464e-05,0.0011113634100183845,0.0011740258196368814
28,0.0011859062360599637,0.0010105223627761006,4.5039316319162026e-05,5.7640805607661605e-05,0.0011854558251798153,0.0010099459905177355
29,0.0011127927573397756,0.0012459440622478724,6.998125900281593e-05,7.792876567691565e-05,0.0011120929848402739,0.0012451647780835629
30,0.0011040448443964124,0.0012193720322102308,7.614714559167624e-05,7.537807687185705e-05,0.0011032833717763424,0.0012186182430014014
31,0.0011175062973052263,0.0012121725594624877,9.293954644817859e-05,6.086369467084296e-05,0.001116576953791082,0.0012115639401599765
32,0.001031596097163856,0.001080922782421112,7.92022910900414e-05,5.448133742902428e-05,0.0010308041237294674,0.001080377958714962
33,0.0011780684581026435,0.0010993948671966791,8.227296348195523e-05,7.465462840627879e-05,0.0011772457510232925,0.001098648295737803
34,0.001012230757623911,0.0011806917609646916,7.22472250345163e-05,7.210180774563923e-05,0.001011508284136653,0.0011799708008766174
35,0.0011016339994966984,0.001108251279219985,8.4112019976601e-05,6.179344927659258e-05,0.0011007928987964988,0.0011076333466917276
36,0.0010004639625549316,0.001144960755482316,8.957988757174462e-05,6.615011079702526e-05,0.0009995681466534734,0.0011442992836236954
37,0.001092033926397562,0.0011295222211629152,7.652045314898714e-05,6.879234570078552e-05,0.0010912687284871936,0.0011288343230262399
38,0.0011401594383642077,0.0011598147684708238,7.432604616042227e-05,7.169367745518684e-05,0.0011394161265343428,0.0011590978829190135
39,0.0011106038000434637,0.0011111691128462553,8.838014036882669e-05,6.136638694442809e-05,0.0011097199749201536,0.0011105554876849055
40,0.0010575694032013416,0.0010979952057823539,8.43553789309226e-05,7.102017116267234e-05,0.0010567258577793837,0.0010972849559038877
41,0.001309976214542985,0.001083787064999342,7.962860399857163e-05,7.117210770957172e-05,0.0013091799337416887,0.001083075301721692
42,0.0011958192335441709,0.0011108415201306343,7.417075539706275e-05,9.894044342217967e-05,0.0011950775515288115,0.0011098521063104272
43,0.0011252412805333734,0.0012607165845111012,0.00010229929466731846,8.350465213879943e-05,0.00112421833910048,0.0012598815374076366
44,0.0012087839422747493,0.0011288067325949669,6.566420779563487e-05,5.895628419239074e-05,0.0012081272434443235,0.0011282172054052353
45,0.0010961537482216954,0.001075240084901452,8.079253893811256e-05,7.142660615500063e-05,0.0010953458258882165,0.0010745258769020438
46,0.0011992099462077022,0.0010810872772708535,6.075871715438552e-05,6.640511855948716e-05,0.0011986023746430874,0.0010804232442751527
47,0.0011402568779885769,0.001108360243961215,8.057703962549567e-05,5.840595258632675e-05,0.0011394510511308908,0.0011077761882916093
48,0.0011363273952156305,0.001142345485277474,0.00010528068378334865,8.166994666680694e-05,0.0011352745350450277,0.001141528831794858
49,0.0010995556367561221,0.0012146832887083292,6.747350562363863e-05,5.4089447075966746e-05,0.0010988808935508132,0.0012141424231231213
50,0.0010875402949750423,0.0010333851678296924,7.084703975124285e-05,8.242861076723784e-05,0.0010868317913264036,0.0010325608309358358
51,0.0011245416244491935,0.001198930200189352,8.953193901106715e-05,4.60099327028729e-05,0.0011236462742090225,0.001198470126837492
52,0.0010947601404041052,0.0011320083867758512,7.226623711176217e-05,7.136551721487194e-05,0.0010940374340862036,0.0011312947608530521
53,0.001105457078665495,0.0011971961939707398,8.575187530368567e-05,8.054511999944225e-05,0.0011045995634049177,0.0011963907163590193
54,0.001109602046199143,0.0011031747562810779,8.103916479740292e-05,4.7951649321476e-05,0.0011087916791439056,0.0011026952415704727
55,0.0012647559633478522,0.0011857145000249147,6.927981303306296e-05,5.858189251739532e-05,0.0012640631757676601,0.0011851286981254816
56,0.0011986029567196965,0.001290191081352532,7.089383143465966e-05,7.124435069272295e-05,0.0011978939874097705,0.001289478619582951
57,0.0012192934518679976,0.001052585314027965,8.257414447143674e-05,6.157527968753129e-05,0.0012184677179902792,0.0010519695933908224
58,0.001018606941215694,0.0010985599365085363,8.742185309529305e-05,6.543699419125915e-05,0.0010177327785640955,0.0010979055659845471
59,0.0010719109559431672,0.0011428736615926027,0.00010851018305402249,6.299320375546813e-05,0.0010708258487284184,0.0011422437382861972
60,0.0010231412015855312,0.0012285904958844185,7.248498150147498e-05,7.229212496895343e-05,0.0010224163997918367,0.0012278675567358732
61,0.0009899364085868,0.0011382948141545057,8.743191574467346e-05,5.967264587525278e-05,0.0009890621295198798,0.0011376980692148209
62,0.001041027600876987,0.001065008225850761,8.803716627880931e-05,6.214524910319597e-05,0.0010401472682133317,0.0010643868008628488
63,0.0011783662484958768,0.0010785729391500354,6.61000594845973e-05,7.022954378044233e-05,0.0011777052422985435,0.0010778706055134535
64,0.0010309366043657064,0.0011440267553552985,6.866535841254517e-05,7.700909918639809e-05,0.0010302499867975712,0.0011432566680014133
65,0.0010284270392730832,0.001052391598932445,8.885052375262603e-05,6.83977414155379e-05,0.0010275385575369,0.0010517076589167118
66,0.0011370619758963585,0.0011455211788415909,8.331793651450425e-05,6.207749538589269e-05,0.0011362287914380431,0.0011449004523456097
67,0.0011155136162415147,0.001142962952144444,6.231444422155619e-05,7.362489122897387e-05,0.001114890445023775,0.0011422267416492105
68,0.001039383583702147,0.0011252674739807844,8.095186785794795e-05,8.577434346079826e-05,0.0010385740315541625,0.0011244097258895636
69,0.0012016925029456615,0.0010426767403259873,9.491342643741518e-05,7.121454109437764e-05,0.0012007433688268065,0.001041964627802372
70,0.0010500424541532993,0.0012136815348640084,0.00010848751844605431,6.231575389392674e-05,0.0010489575797691941,0.0012130583636462688
71,0.000982572790235281,0.001082167960703373,7.885578816058114e-05,6.316658254945651e-05,0.0009817841928452253,0.00108153629116714
72,0.0011046035215258598,0.0011691218242049217,6.922637112438679e-05,6.561081681866199e-05,0.001103911199606955,0.0011684657074511051
73,0.0010251787025481462,0.0010946557158604264,6.803212454542518e-05,8.781523501966149e-05,0.0010244983714073896,0.0010937775950878859
74,0.0011913410853594542,0.0011425180127844214,8.021372195798904e-05,6.237896741367877e-05,0.0011905389837920666,0.0011418942594900727
75,0.0011516888625919819,0.001106034847907722,7.1369344368577e-05,7.562486280221492e-05,0.001150975120253861,0.0011052786139771342
76,0.0011365661630406976,0.0011817142367362976,5.3589137678500265e-05,6.129703251644969e-05,0.0011360303033143282,0.0011811013100668788
77,0.0010810187086462975,0.0010282809380441904,6.665571709163487e-05,4.931219154968858e-05,0.0010803521145135164,0.0010277878027409315
78,0.001078684930689633,0.0011112610809504986,9.649446292314678e-05,6.343905988615006e-05,0.0010777199640870094,0.0011106267338618636
79,0.0011678609298542142,0.001231557922437787,7.696784450672567e-05,5.590347063844092e-05,0.0011670913081616163,0.0012309988960623741
80,0.0010803488548845053,0.0011513015488162637,9.25832791836001e-05,5.772723307018168e-05,0.0010794230038300157,0.001150724245235324
81,0.0009591011330485344,0.001028098282404244,8.319589687744156e-05,6.406955799320713e-05,0.0009582691709510982,0.0010274575324729085
82,0.0010918438201770186,0.0010586275020614266,5.712197889806703e-05,9.056494309334084e-05,0.0010912725701928139,0.001057721907272935
83,0.0010678351391106844,0.0010363016044721007,8.978586993180215e-05,6.932828546268865e-05,0.0010669372277334332,0.0010356083512306213
84,0.0010581687092781067,0.001099720480851829,6.244976975722238e-05,7.430677942465991e-05,0.001057544257491827,0.0010989774018526077
85,0.0010246937163174152,0.00111880071926862,6.569074321305379e-05,5.264046922093257e-05,0.0010240367846563458,0.0011182742891833186
86,0.000991172855719924,0.0011275458382442594,6.69439323246479e-05,6.938081060070544e-05,0.000990503467619419,0.0011268520029261708
87,0.0011125452583655715,0.0011564744636416435,9.589775436324999e-05,6.173927977215499e-05,0.0011115862289443612,0.0011558571131899953
88,0.000957920157816261,0.0011861213715746999,8.302251808345318e-05,8.230745152104646e-05,0.0009570899419486523,0.0011852983152493834
89,0.0011408915743231773,0.001073271967470646,5.8396912208991125e-05,7.529099093517289e-05,0.0011403076350688934,0.0010725191095843911
90,0.0010943654924631119,0.0011204193579033017,6.681311060674489e-05,6.976458098506555e-05,0.001093697384931147,0.001119721680879593
91,0.0012066009221598506,0.0010806990321725607,5.5205528042279184e-05,6.677707278868183e-05,0.0012060488807037473,0.0010800312738865614
92,0.001041623530909419,0.0010794609552249312,7.932939479360357e-05,8.110613271128386e-05,0.0010408302769064903,0.001078649889677763
93,0.0011622551828622818,0.0010251079220324755,8.771050488576293e-05,5.404596231528558e-05,0.0011613781098276377,0.001024567405693233
94,0.0010605037678033113,0.0010232377098873258,8.564133895561099e-05,6.325126742012799e-05,0.0010596473002806306,0.00102260522544384
95,0.0011614362010732293,0.001088205841369927,9.023463644552976e-05,8.064587018452585e-05,0.0011605338659137487,0.0010873994324356318
96,0.0010908757103607059,0.0011338733602315187,6.317510997178033e-05,6.688188295811415e-05,0.001090243924409151,0.001133204554207623
97,0.001147021888755262,0.001169390743598342,6.552765989908949e-05,5.0332502723904327e-05,0.001146366586908698,0.0011688873637467623
98,0.001057069981470704,0.0010060662170872092,8.227470971178263e-05,7.471514254575595e-05,0.0010562472743913531,0.001005319063551724
99,0.0011745472438633442,0.0010896731400862336,0.0001157415535999462,7.865273801144212e-05,0.0011733898427337408,0.0010888866381719708
0,0.001138030202127993,0.0009674272732809186,3.4241329558426514e-05,5.692751074093394e-05,0.0011376878246665,0.0009668580023571849
1,0.0011295813601464033,0.001142025925219059,2.684898572624661e-05,4.828041710425168e-05,0.0011293129064142704,0.0011415431508794427
2,0.0012279347283765674,0.0010772733949124813,4.6440640289802104e-05,4.1071034502238035e-05,0.0012274703476577997,0.0010768626816570759
3,0.0011544591980054975,0.0011459063971415162,4.300982254790142e-05,3.116915104328655e-05,0.001154029043391347,0.0011455947533249855
4,0.0012180295307189226,0.001196248922497034,3.997637759312056e-05,3.257556090829894e-05,0.001217629760503769,0.0011959231924265623
5,0.0010731156216934323,0.0010677517857402563,3.2731091778259724e-05,3.1801348086446524e-05,0.001072788261808455,0.0010674337390810251
6,0.0010928590781986713,0.0010896975873038173,4.41588053945452e-05,5.075152148492634e-05,0.0010924175148829818,0.0010891900165006518
7,0.0011299769394099712,0.0010930377757176757,4.346520290710032e-05,4.5242115447763354e-05,0.0011295422445982695,0.0010925853857770562
8,0.0011505347210913897,0.0010294168023392558,3.934683263651095e-05,4.182907650829293e-05,0.0011501412373036146,0.0010289985220879316
9,0.0012993928976356983,0.0011913917260244489,6.49554276606068e-05,4.529844591161236e-05,0.001298743300139904,0.0011909387540072203
10,0.0013032444985583425,0.0011338782496750355,4.124229235458188e-05,4.77000794489868e-05,0.0013028320390731096,0.0011334012961015105
11,0.001104307477362454,0.001210906426422298,4.618642560672015e-05,3.5167882742825896e-05,0.0011038456577807665,0.0012105547357350588
12,0.0010670425835996866,0.001130834105424583,3.325131183373742e-05,3.815740637946874e-05,0.001066710101440549,0.0011304524959996343
13,0.0011544297449290752,0.0010807339567691088,4.638275277102366e-05,3.68249457096681e-05,0.0011539659462869167,0.0010803657351061702
14,0.001124860835261643,0.0011489455355331302,4.8967132897814736e-05,4.6157510951161385e-05,0.0011243711924180388,0.0011484839487820864
15,0.0012516123242676258,0.0011204993352293968,5.42997513548471e-05,4.2510044295340776e-05,0.001251069363206625,0.0011200741864740849
16,0.0010396570432931185,0.0011709942482411861,5.543118459172547e-05,2.84777233900968e-05,0.0010391026735305786,0.0011707094963639975
17,0.0011370126157999039,0.0009962789481505752,3.343835851410404e-05,4.847562377108261e-05,0.001136678270995617,0.0009957941947504878
18,0.0011855389457195997,0.0010557137429714203,4.1091199818765745e-05,3.8566267903661355e-05,0.0011851279996335506,0.0010553280590102077
19,0.0011136331595480442,0.0010120957158505917,4.1057413909584284e-05,3.772425770875998e-05,0.0011132225627079606,0.0010117185302078724
20,0.001164090819656849,0.0010284882737323642,4.3186519178561866e-05,3.210222348570824e-05,0.001163658918812871,0.0010281672002747655
21,0.0010766205377876759,0.0011601949809119105,4.297787381801754e-05,3.884714897139929e-05,0.0010761907324194908,0.001159806502982974
22,0.001139944070018828,0.0010411454131826758,4.8039077228168026e-05,4.248048935551196e-05,0.0011394636239856482,0.0010407206136733294
23,0.0011105401208624244,0.0011806196998804808,3.78417425963562e-05,4.602109765983187e-05,0.001110161654651165,0.001180159510113299
24,0.0011008940637111664,0.0010933992452919483,5.808297646581195e-05,3.662432936835103e-05,0.0011003132676705718,0.0010930330026894808
25,0.0010888990946114063,0.0012372948694974184,5.175682599656284e-05,3.8830883568152785e-05,0.0010883815120905638,0.0012369065079838037
26,0.0009352765628136694,0.0010526333935558796,5.2965275244787335e-05,3.76661992049776e-05,0.0009347469313070178,0.0010522566735744476
27,0.0012155207805335522,0.0011337181786075234,3.970372199546546e-05,3.3630189136601985e-05,0.0012151236878708005,0.0011333818547427654
28,0.0010648391908034682,0.0010282746516168118,3.1269326427718624e-05,4.8323843657271937e-05,0.001064526499249041,0.0010277914116159081
29,0.0011010431917384267,0.000977922580204904,4.064034146722406e-05,3.677346103359014e-05,0.0011006367858499289,0.0009775548242032528
30,0.0010564407566562295,0.0011011435417458415,5.596037226496264e-05,4.739193173008971e-05,0.0010558811482042074,0.001100669614970684
31,0.001047192607074976,0.0011515981750562787,4.225878365105018e-05,3.6893026845064014e-05,0.0010467700194567442,0.0011512292549014091
32,0.001048827194608748,0.0011560659622773528,4.99954039696604e-05,3.613008084357716e-05,0.0010483271908015013,0.001155704609118402
33,0.0010726455366238952,0.001272273133508861,4.5559041609521955e-05,4.9971844418905675e-05,0.0010721900034695864,0.001271773362532258
34,0.0010099351638928056,0.0011088912142440677,3.876867413055152e-05,3.6514902603812516e-05,0.0010095475008711219,0.0011085260193794966
35,0.001149419927969575,0.0011467302683740854,4.30522341048345e-05,3.855465547530912e-05,0.001148989424109459,0.0011463447008281946
36,0.0010173472110182047,0.0012039822759106755,5.6831861002137884e-05,3.9443137211492285e-05,0.0010167788714170456,0.0012035878608003259
37,0.0010304293828085065,0.00108327716588974,5.148301715962589e-05,3.2266107155010104e-05,0.0010299145942553878,0.0010829544626176357
38,0.001309429993852973,0.0010688863694667816,4.72447500214912e-05,4.9317462980980054e-05,0.0013089575804769993,0.0010683932341635227
39,0.0009600138291716576,0.0011794944293797016,4.0118284232448786e-05,5.405462798080407e-05,0.0009596126619726419,0.0011789539130404592
40,0.001094465027563274,0.0011476802174001932,4.3459091102704406e-05,5.384047835832462e-05,0.001094030449166894,0.0011471417965367436
41,0.0012618722394108772,0.0010877622989937663,3.63921863026917e-05,2.527005381125491e-05,0.0012615083251148462,0.00108750956133008
42,0.0011714568827301264,0.0011024702107533813,4.20188152929768e-05,3.5195989767089486e-05,0.001171036739833653,0.0011021182872354984
43,0.000992067507468164,0.0011268346570432186,4.819429886993021e-05,4.5504089939640835e-05,0.0009915855480358005,0.0011263795895501971
44,0.0011712469859048724,0.0010573305189609528,3.4591845178510994e-05,4.801381510333158e-05,0.0011709011159837246,0.0010568504221737385
45,0.0010501614306122065,0.0010914889862760901,4.964933395967819e-05,4.870670454693027e-05,0.0010496649192646146,0.0010910019045695662
46,0.0010620749089866877,0.0011042830301448703,4.4922810047864914e-05,4.138183066970669e-05,0.0010616256622597575,0.0011038691736757755
47,0.0011702913325279951,0.001098344917409122,4.9271377065451816e-05,4.092903691343963e-05,0.0011697986628860235,0.0010979356011375785
48,0.0010785202030092478,0.0010668407194316387,4.609217285178602e-05,4.235696542309597e-05,0.001078059314750135,0.0010664172004908323
49,0.0009883865714073181,0.0012548808008432388,3.9516889955848455e-05,3.4889933886006474e-05,0.0009879914578050375,0.0012545319041237235
50,0.0010749449720606208,0.0010928903939202428,3.769608156289905e-05,5.083846554043703e-05,0.0010745680192485452,0.0010923820082098246
51,0.0010921034263446927,0.001111026736907661,2.8021262551192194e-05,4.573447586153634e-05,0.0010918232146650553,0.001110569341108203
52,0.001088368589989841,0.0011339103803038597,3.717389336088672e-05,4.90805359731894e-05,0.0010879968758672476,0.0011334195733070374
53,0.0011432445608079433,0.0011580137070268393,4.123109465581365e-05,4.337989958003163e-05,0.0011428322177380323,0.001157579943537712
54,0.0010290746577084064,0.0010598128428682685,3.851018118439242e-05,4.27909180871211e-05,0.001028689555823803,0.0010593849001452327
55,0.001070201862603426,0.0010655687656253576,4.0680977690499276e-05,3.056927380384877e-05,0.0010697951074689627,0.00106526305899024
56,0.001322161522693932,0.0011053988710045815,4.789958620676771e-05,4.5482913265004754e-05,0.0013216824736446142,0.0011049440363422036
57,0.0010239897528663278,0.0012194545706734061,4.398525197757408e-05,4.676164826378226e-05,0.0010235499357804656,0.0012189869303256273
58,0.0012490018270909786,0.0012095606653019786,3.67841130355373e-05,4.391848779050633e-05,0.0012486339546740055,0.0012091214302927256
59,0.0012633303413167596,0.0011168703204020858,4.232929495628923e-05,4.620792606147006e-05,0.0012629070552065969,0.0011164082679897547
60,0.0010434278519824147,0.0010356222046539187,5.58157880732324e-05,5.163462628843263e-05,0.0010428696405142546,0.0010351059027016163
61,0.0010788560612127185,0.0009764966671355069,3.946852666558698e-05,4.228420584695414e-05,0.0010784614132717252,0.0009760738466866314
62,0.0011756452731788158,0.0011406909907236695,4.244685987941921e-05,4.08623818657361e-05,0.0011752208229154348,0.001140282372944057
63,0.0013057580217719078,0.0011264524655416608,3.97780750063248e-05,3.9705511881038547e-05,0.0013053602306172252,0.0011260553728789091
64,0.001091042417101562,0.0009903059108182788,5.998746564728208e-05,3.487279900582507e-05,0.0010904425289481878,0.0009899571305140853
65,0.0011407521087676287,0.0010450128465890884,5.6541361118434e-05,3.6458612157730386e-05,0.0011401866795495152,0.0010446482338011265
66,0.0009157704189419746,0.0011256427969783545,4.441909186425619e-05,3.864541940856725e-05,0.000915326236281544,0.001125256298109889
67,0.0010444250656291842,0.0011300131445750594,3.89566266676411e-05,4.1740506276255473e-05,0.0010440355399623513,0.0011295957956463099
68,0.001142708002589643,0.0009728634031489491,4.60366572951898e-05,4.7893459850456566e-05,0.0011422475799918175,0.0009723844705149531
69,0.0011277790181338787,0.0011542754946276546,3.528003435349092e-05,3.9065991586539894e-05,0.0011274261632934213,0.0011538848048076034
70,0.0010593910701572895,0.0010427209781482816,4.771138628711924e-05,3.5634846426546574e-05,0.0010589140001684427,0.0010423646308481693
71,0.0012679254868999124,0.0012107306392863393,3.3438875107094646e-05,3.513949559419416e-05,0.0012675911420956254,0.0012103792978450656
72,0.0011978234397247434,0.0011899287346750498,3.782934072660282e-05,3.4356999094597995e-05,0.0011974450899288058,0.0011895851930603385
73,0.0010193000780418515,0.0012564267963171005,4.81354036310222e-05,3.725475835381076e-05,0.0010188187006860971,0.0012560542672872543
74,0.0011700802715495229,0.0010250014020130038,6.637542537646368e-05,3.885835758410394e-05,0.0011694164713844657,0.0010246128076687455
75,0.0010644091526046395,0.0011581723811104894,5.205457637202926e-05,4.839407483814284e-05,0.0010638886597007513,0.0011576884426176548
76,0.001056175446137786,0.001182238687761128,5.620258889393881e-05,3.3174197596963495e-05,0.0010556133929640055,0.0011819069040939212
77,0.0009586907690390944,0.001173204043880105,4.05808532377705e-05,4.343070395407267e-05,0.0009582849452272058,0.0011727696983143687
78,0.0011647328501567245,0.0010052027646452188,4.3253643525531515e-05,5.790521390736103e-05,0.0011643003672361374,0.0010046237148344517
79,0.0008994402596727014,0.0009990097023546696,4.410516703501344e-05,4.58460817753803e-05,0.00089899922022596,0.000998551258817315
80,0.0011139967245981097,0.0011281922925263643,4.0088278183247894e-05,3.9392387407133356e-05,0.0011135957902297378,0.001127798343077302
81,0.0011178936110809445,0.0010340613080188632,4.9603819206822664e-05,4.487354453885928e-05,0.00111739756539464,0.0010336125269532204
82,0.0010863217758014798,0.0010975728509947658,6.289393786573783e-05,3.0165962016326375e-05,0.0010856927838176489,0.0010972712188959122
83,0.001093455241061747,0.0010012107668444514,4.882518624071963e-05,3.666827251436189e-05,0.001092966995202005,0.0010008440585806966
84,0.0011612542439252138,0.0011922352714464068,5.6340308219660074e-05,5.370682629290968e-05,0.0011606907937675714,0.0011916982475668192
85,0.001060931128449738,0.0010670456103980541,4.034083758597262e-05,4.293307938496582e-05,0.0010605277493596077,0.0010666162706911564
86,0.0010434355353936553,0.0010946178808808327,4.339756924309768e-05,3.12966549245175e-05,0.0010430015390738845,0.0010943049564957619
87,0.0010256307432428002,0.0011117274407297373,3.8979866076260805e-05,4.653755240724422e-05,0.0010252409847453237,0.0011112620122730732
88,0.0011224565096199512,0.0012331313919276,4.372565308585763e-05,2.971445064758882e-05,0.0011220192536711693,0.0012328343000262976
89,0.0010761335724964738,0.0013130560982972383,5.1648075896082446e-05,3.215004471712746e-05,0.0010756170377135277,0.0013127345591783524
90,0.001152895507402718,0.0012025445466861129,3.347897654748522e-05,4.4581163820112124e-05,0.0011525606969371438,0.0012020987924188375
91,0.00110626092646271,0.0011008826550096273,5.4307965910993516e-05,3.5365614166948944e-05,0.0011057178489863873,0.0011005289852619171
92,0.0009771514451131225,0.0011068490566685796,4.479323251871392e-05,4.666115273721516e-05,0.0009767034789547324,0.0011063824640586972
93,0.001035110093653202,0.0011006310814991593,4.0858707507140934e-05,5.127518670633435e-05,0.0010347014758735895,0.0011001182720065117
94,0.00108171661850065,0.0010231910273432732,4.486502439249307e-05,4.360699313110672e-05,0.001081267953850329,0.0010227549355477095
95,0.0010755376424640417,0.0009969627717509866,3.7101151974638924e-05,3.5547858715290204e-05,0.0010751666268333793,0.0009966072393581271
96,0.0011424426920711994,0.0010826813522726297,3.480429222690873e-05,4.285252362024039e-05,0.0011420946102589369,0.0010822528274729848
97,0.0011397897033020854,0.0011331882560625672,6.242460221983492e-05,4.298916246625595e-05,0.0011391654843464494,0.0011327583342790604
98,0.0012304565170779824,0.0010415699798613787,5.225679342402145e-05,4.596865983330645e-05,0.0012299339286983013,0.001041110255755484
99,0.0009443990420550108,0.0011467416770756245,4.000442640972324e-05,4.307924609747715e-05,0.0009439989808015525,0.0011463109403848648
